 "prop" , "support" ,
 "http://purl.org/dc/elements/1.1/titlecontributor" , "1" ,
 "http://purl.org/dc/elements/1.1/titlecreator" , "1" ,
 "http://purl.org/dc/elements/1.1/titletitle" , "1" ,
 "http://purl.org/dc/terms#issued" , "1" ,
 "http://purl.org/dc/terms#modified" , "1" ,
 "http://purl.org/dc/terms#publisher" , "1" ,
 "http://purl.org/dc/terms#version" , "1" ,
 "http://purl.org/dc/terms/accessRights" , "1" ,
 "http://purl.org/dc/terms/accrualPeriodicity" , "1" ,
 "http://purl.org/dc/terms/comment" , "1" ,
 "http://purl.org/dc/terms/contributor1" , "1" ,
 "http://purl.org/dc/terms/isReplacedBy" , "1" ,
 "http://purl.org/dc/terms/isRequiredBy" , "1" ,
 "http://purl.org/dc/terms/publishercreated" , "1" ,
 "http://purl.org/dc/terms/publisherissued" , "1" ,
 "http://purl.org/dc/terms/publisherlicense" , "1" ,
 "http://purl.org/dc/terms/publisherpublisher" , "1" ,
 "http://purl.org/dc/terms/requires" , "1" ,
 "http://purl.org/dc/terms/spatial" , "1" ,
 "http://purl.org/dc/terms/tableOfContents" , "1" ,
 "http://purl.org/dc/terms/updated" , "1" ,
 "http://purl.org/goodrelations/v1#BusinessEntity" , "1" ,
 "http://purl.org/makolab/caont/lastActualisationDate" , "1" ,
 "http://purl.org/net/ns/ontology-annot#relation" , "1" ,
 "http://purl.org/ontology/bibo/editor" , "1" ,
 "http://purl.org/openorg/contact" , "1" ,
 "http://purl.org/pav/createdBy" , "1" ,
 "http://purl.org/pav/derivedFrom" , "1" ,
 "http://purl.org/pav/hasPreviousVersion" , "1" ,
 "http://purl.org/pav/modifiedOn" , "1" ,
 "http://purl.org/spar/cito/citesAsAuthority" , "1" ,
 "http://purl.org/spar/cito/citesAsDataSource" , "1" ,
 "http://purl.org/spar/cito/isReviewedBy" , "1" ,
 "http://purl.org/vocab/frbr/core#abridgement" , "1" ,
 "http://purl.org/vocab/frbr/core#abridgementOf" , "1" ,
 "http://purl.org/vocab/frbr/core#complementOf" , "1" ,
 "http://purl.org/vocab/frbr/core#realization" , "1" ,
 "http://purl.org/vocab/vann/modified" , "1" ,
 "http://purl.org/vocab/vann/prefferedNamespacePrefix" , "1" ,
 "http://purl.org/vocab/vann/prefferedNamespaceURI" , "1" ,
 "http://purl.org/vocommons/voaf#exampleDataset" , "1" ,
 "http://purl.org/vocommons/voaf#preferredNamespacePrefix" , "1" ,
 "http://purl.org/vocommons/voaf#preferredNamespaceUri" , "1" ,
 "http://qudt.org/schema/qudt/acronym" , "1" ,
 "http://rdf.muninn-project.org/ontologies/military#member" , "1" ,
 "http://rdfs.org/ns/void#distinctObjects" , "1" ,
 "http://rdfs.org/ns/void#distinctSubjects" , "1" ,
 "http://rdfs.org/ns/void#rootResource" , "1" ,
 "http://rdfs.org/ns/void#uriRegexPattern" , "1" ,
 "http://schema.org/alternateName" , "1" ,
 "http://schema.org/author" , "1" ,
 "http://schema.org/datePublished" , "1" ,
 "http://schema.org/description" , "1" ,
 "http://schema.org/keywords" , "1" ,
 "http://schema.org/language" , "1" ,
 "http://schema.org/logo" , "1" ,
 "http://schema.org/publisher" , "1" ,
 "http://schema.org/subjectOf" , "1" ,
 "http://semanticscience.org/resource/SIO_000563" , "1" ,
 "http://topbraid.org/metadata#identifier" , "1" ,
 "http://topbraid.org/metadata#keyword" , "1" ,
 "http://topbraid.org/metadata#officialName" , "1" ,
 "http://topbraid.org/raci#responsible" , "1" ,
 "http://topbraid.org/teamwork#newInstancesUserCannotModifyURI" , "1" ,
 "http://uri.interlex.org/MIRO/uris/readable/axiom_patterns" , "1" ,
 "http://uri.interlex.org/MIRO/uris/readable/competition" , "1" ,
 "http://uri.interlex.org/MIRO/uris/readable/dereferenceable_iris" , "1" ,
 "http://uri.interlex.org/MIRO/uris/readable/development_community" , "1" ,
 "http://uri.interlex.org/MIRO/uris/readable/development_environment" , "1" ,
 "http://uri.interlex.org/MIRO/uris/readable/entity_deprecation_strategy" , "1" ,
 "http://uri.interlex.org/MIRO/uris/readable/entity_metadata_policy" , "1" ,
 "http://uri.interlex.org/MIRO/uris/readable/entity_naming_convention" , "1" ,
