prop ,support_ontology ,support_concept_scheme ,
http://edamontology.org/next_id ,1,0,
http://edg.topbraid.solutions/model/subjectArea ,1,0,
http://empusa.org/0.1/codeProjectDescription ,1,0,
http://empusa.org/0.1/codeProjectFullName ,1,0,
http://empusa.org/0.1/codeProjectGroup ,1,0,
http://empusa.org/0.1/codeProjectName ,1,0,
http://empusa.org/0.1/codeProjectVersion ,1,0,
http://example.com/owl/families/import/familyImport17/ontologyIRI ,1,0,
http://isweb.uni-koblenz.de/cicero#ciceroProjectURL ,1,0,
http://mmisw.org/ont/mmi/20081020/ontologyMetadata/hasContentCreator ,1,0,
http://mmisw.org/ont/mmi/20081020/ontologyMetadata/hasResourceType ,1,0,
http://mmisw.org/ont/mmi/20081020/ontologyMetadata/origMaintainerCode ,1,0,
http://mmisw.org/ont/mmi/20081020/ontologyMetadata/origVocLastModified ,1,0,
http://mmisw.org/ont/mmi/20081020/ontologyMetadata/origVocUri ,1,0,
http://mmisw.org/ont/mmi/20081020/ontologyMetadata/origVocVersionId ,1,0,
http://ns.nature.com/terms/webpage ,1,0,
http://ns.ottr.xyz/0.4/status ,1,0,
http://omv.ontoware.org/2005/05/ontology#conformsToKnowledgeRepresentationParadigm ,1,0,
http://omv.ontoware.org/2005/05/ontology#creationDate ,1,0,
http://omv.ontoware.org/2005/05/ontology#description ,1,0,
http://omv.ontoware.org/2005/05/ontology#documentation ,1,0,
http://omv.ontoware.org/2005/05/ontology#hasContributor ,1,0,
http://omv.ontoware.org/2005/05/ontology#hasCreator ,1,0,
http://omv.ontoware.org/2005/05/ontology#hasFormalityLevel ,1,0,
http://omv.ontoware.org/2005/05/ontology#hasOntologyLanguage ,1,0,
http://omv.ontoware.org/2005/05/ontology#hasOntologySyntax ,1,0,
http://omv.ontoware.org/2005/05/ontology#keywords ,1,0,
http://omv.ontoware.org/2005/05/ontology#name ,1,0,
http://omv.ontoware.org/2005/05/ontology#reference ,1,0,
http://omv.ontoware.org/2005/05/ontology#usedOntologyEngineeringMethodology ,1,0,
http://omv.ontoware.org/2005/05/ontology#usedOntologyEngineeringTool ,1,0,
http://protege.stanford.edu/webprotege/revision ,1,0,
http://purl.1122org/ontology/bibo/status ,1,0,
http://purl.obolibrary.org/MCO_0000382 ,1,0,
http://purl.obolibrary.org/obo/FOBI_050000 ,1,0,
http://purl.obolibrary.org/obo/FOBI_050001 ,1,0,
http://purl.obolibrary.org/obo/FOBI_050002 ,1,0,
http://purl.obolibrary.org/obo/FOBI_050003 ,1,0,
http://purl.obolibrary.org/obo/IAO_0000117 ,1,0,
http://purl.obolibrary.org/obo/IAO_0000118 ,1,0,
http://purl.obolibrary.org/obo/comment ,1,0,
http://purl.obolibrary.org/obo/createdBy ,1,0,
http://purl.obolibrary.org/obo/date ,1,0,
http://purl.obolibrary.org/obo/format-version ,1,0,
http://purl.obolibrary.org/obo/idspace ,1,0,
http://purl.obolibrary.org/obo/remark ,1,0,
http://purl.org/NET/uri#identifier ,1,0,
http://purl.org/dc/dcmitype/InteractiveResource ,1,0,
http://purl.org/dc/dcmitype/StillImage ,1,0,
http://purl.org/dc/elements/1.1/LicenseDocument ,1,0,
http://purl.org/dc/elements/1.1/accessRights ,1,0,
http://purl.org/dc/elements/1.1/accrualMethod ,1,0,
http://purl.org/dc/elements/1.1/accrualPeriodicity ,1,0,
http://purl.org/dc/elements/1.1/accrualPolicy ,1,0,
http://purl.org/dc/elements/1.1/audience ,1,0,
http://purl.org/dc/elements/1.1/author ,1,0,
http://purl.org/dc/elements/1.1/available ,1,0,
http://purl.org/dc/elements/1.1/bibliographicCitation ,1,0,
http://purl.org/dc/elements/1.1/conformsTo ,1,0,
http://purl.org/dc/elements/1.1/desription ,1,0,
http://purl.org/dc/elements/1.1/isReferencedBy ,1,0,
http://purl.org/dc/elements/1.1/isVersionOf ,1,0,
http://purl.org/dc/elements/1.1/titlecontributor ,1,0,
http://purl.org/dc/elements/1.1/titlecreator ,1,0,
http://purl.org/dc/elements/1.1/titletitle ,1,0,
http://purl.org/dc/terms#issued ,1,0,
http://purl.org/dc/terms#modified ,1,0,
http://purl.org/dc/terms#publisher ,1,0,
http://purl.org/dc/terms#version ,1,0,
http://purl.org/dc/terms/accrualPeriodicity ,1,0,
http://purl.org/dc/terms/comment ,1,0,
http://purl.org/dc/terms/isRequiredBy ,1,0,
http://purl.org/dc/terms/publishercreated ,1,0,
http://purl.org/dc/terms/publisherissued ,1,0,
http://purl.org/dc/terms/publisherlicense ,1,0,
http://purl.org/dc/terms/publisherpublisher ,1,0,
http://purl.org/dc/terms/requires ,1,0,
http://purl.org/dc/terms/tableOfContents ,1,0,
http://purl.org/dc/terms/updated ,1,0,
http://purl.org/goodrelations/v1#BusinessEntity ,1,0,
http://purl.org/makolab/caont/lastActualisationDate ,1,0,
http://purl.org/net/ns/ontology-annot#relation ,1,0,
http://purl.org/ontology/bibo/editor ,1,0,
http://purl.org/openorg/contact ,1,0,
http://purl.org/pav/createdBy ,1,0,
http://purl.org/pav/derivedFrom ,1,0,
http://purl.org/pav/hasPreviousVersion ,1,0,
http://purl.org/spar/cito/citesAsAuthority ,1,0,
http://purl.org/spar/cito/citesAsDataSource ,1,0,
http://purl.org/spar/cito/isReviewedBy ,1,0,
http://purl.org/vocab/frbr/core#abridgement ,1,0,
http://purl.org/vocab/frbr/core#abridgementOf ,1,0,
http://purl.org/vocab/frbr/core#complementOf ,1,0,
http://purl.org/vocab/frbr/core#realization ,1,0,
http://purl.org/vocab/vann/modified ,1,0,
