voc ,dist ,date 
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2011-06-27.n3 ,2011-06-27
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2012-05-14.n3 ,2012-05-14
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2012-02-20.n3 ,2012-02-20
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2012-07-25.n3 ,2012-07-25
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2015-01-22.n3 ,2015-01-22
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2012-07-03.n3 ,2012-07-03
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2012-06-08.n3 ,2012-06-08
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2012-09-27.n3 ,2012-09-27
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2012-12-20.n3 ,2012-12-20
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2012-07-14.n3 ,2012-07-14
http://purl.org/spar/fabio ,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2012-08-20.n3 ,2012-08-20
http://www.ebu.ch/metadata/ontologies/ebucore/ebucore ,https://lov.linkeddata.es/dataset/lov/vocabs/ebucore/versions/2013-12-21.n3 ,2013-12-21
http://dev.poderopedia.com/vocab/schema ,https://lov.linkeddata.es/dataset/lov/vocabs/poder/versions/2012-05-17.n3 ,2012-05-17
http://spitfire-project.eu/ontology/ns ,https://lov.linkeddata.es/dataset/lov/vocabs/spt/versions/2013-11-06.n3 ,2013-11-06
http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1 ,https://lov.linkeddata.es/dataset/lov/vocabs/d2rq/versions/2005-04-29.n3 ,2005-04-29
http://purl.org/NET/c4dm/event.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/event/versions/2007-10-25.n3 ,2007-10-25
http://lod.nl.go.kr/ontology/ ,https://lov.linkeddata.es/dataset/lov/vocabs/nlon/versions/2015-11-23.n3 ,2015-11-23
